locus_tag	ftype	length_bp	gene	EC_number	COG	product
BCPCFBLM_00083	CDS	1146	lldD_1	1.1.-.-	COG1304	L-lactate dehydrogenase
BCPCFBLM_00084	CDS	2817				hypothetical protein
BCPCFBLM_00085	CDS	483	speH	4.1.1.50		S-adenosylmethionine decarboxylase proenzyme
BCPCFBLM_00086	CDS	1128	speE_1	2.5.1.104	COG0421	Polyamine aminopropyltransferase
BCPCFBLM_00087	CDS	861				hypothetical protein
BCPCFBLM_00088	CDS	666	qseB_1			Transcriptional regulatory protein QseB
BCPCFBLM_00089	CDS	1434	qseC_1	2.7.13.3		Sensor protein QseC
BCPCFBLM_00090	CDS	399	hmrR			HTH-type transcriptional regulator HmrR
BCPCFBLM_00091	CDS	567				hypothetical protein
BCPCFBLM_00092	CDS	894	eamA_1		COG0697	putative amino-acid metabolite efflux pump
BCPCFBLM_00093	CDS	894				hypothetical protein
BCPCFBLM_00094	CDS	1182		3.1.4.-	COG3437	Cyclic di-GMP phosphodiesterase
BCPCFBLM_00095	CDS	246				hypothetical protein
BCPCFBLM_00096	CDS	891	yedA			putative inner membrane transporter YedA
BCPCFBLM_00097	CDS	468	lrpC_1		COG1522	HTH-type transcriptional regulator LrpC
BCPCFBLM_00098	CDS	1278	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
BCPCFBLM_00099	CDS	1356				hypothetical protein
BCPCFBLM_00100	CDS	1002				hypothetical protein
BCPCFBLM_00101	CDS	858				hypothetical protein
BCPCFBLM_00102	CDS	306				hypothetical protein
BCPCFBLM_00103	CDS	750	cmoM	2.1.1.-	COG0500	tRNA 5-carboxymethoxyuridine methyltransferase
BCPCFBLM_00104	CDS	621				hypothetical protein
BCPCFBLM_00105	CDS	936			COG0584	putative protein
BCPCFBLM_00106	CDS	564				hypothetical protein
BCPCFBLM_00107	CDS	483				hypothetical protein
BCPCFBLM_00108	CDS	378				hypothetical protein
BCPCFBLM_00109	CDS	468	gcvH_1			Glycine cleavage system H protein
BCPCFBLM_00110	CDS	729				hypothetical protein
BCPCFBLM_00111	CDS	579				hypothetical protein
BCPCFBLM_00112	CDS	801	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
BCPCFBLM_00113	CDS	441				hypothetical protein
BCPCFBLM_00114	CDS	723	nadE_1	6.3.5.1		Glutamine-dependent NAD(+) synthetase
BCPCFBLM_00115	tRNA	96				tRNA-SeC(tca)
BCPCFBLM_00116	CDS	618				hypothetical protein
BCPCFBLM_00117	CDS	1398	potE_1			Putrescine transporter PotE
BCPCFBLM_00118	CDS	1407	spuC_1	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
BCPCFBLM_00119	CDS	819				hypothetical protein
BCPCFBLM_00120	CDS	1926	selB		COG3276	Selenocysteine-specific elongation factor
BCPCFBLM_00121	CDS	1407	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
BCPCFBLM_00122	CDS	930	fdhE		COG3058	Protein FdhE 
BCPCFBLM_00123	CDS	627	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
BCPCFBLM_00124	CDS	930	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
BCPCFBLM_00125	CDS	2442	fdoG	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
BCPCFBLM_00126	CDS	591	fdnG	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
BCPCFBLM_00127	CDS	930	lip_1	3.1.1.3	COG1075	Triacylglycerol lipase
BCPCFBLM_00128	CDS	2046	fadH_1	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
BCPCFBLM_00129	CDS	450				hypothetical protein
BCPCFBLM_00130	CDS	1236				hypothetical protein
BCPCFBLM_00131	CDS	393				hypothetical protein
BCPCFBLM_00132	CDS	1437	arnT_1	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
BCPCFBLM_00133	CDS	975		2.4.-.-		putative glycosyltransferase
BCPCFBLM_00134	CDS	363				hypothetical protein
BCPCFBLM_00135	CDS	1362	dinF		COG0534	DNA damage-inducible protein F
BCPCFBLM_00136	CDS	369				hypothetical protein
BCPCFBLM_00137	CDS	1668				hypothetical protein
BCPCFBLM_00138	CDS	210				hypothetical protein
BCPCFBLM_00139	CDS	777				hypothetical protein
BCPCFBLM_00140	CDS	2712	mgtB	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
BCPCFBLM_00141	CDS	219				hypothetical protein
BCPCFBLM_00142	CDS	135				hypothetical protein
BCPCFBLM_00143	CDS	840	nat	2.3.1.5	COG2162	Arylamine N-acetyltransferase
BCPCFBLM_00144	CDS	456				hypothetical protein
BCPCFBLM_00145	CDS	1401	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
BCPCFBLM_00146	CDS	540				hypothetical protein
BCPCFBLM_00147	CDS	561				hypothetical protein
BCPCFBLM_00148	CDS	798				hypothetical protein
BCPCFBLM_00149	CDS	618				hypothetical protein
BCPCFBLM_00150	CDS	855	cntI_1			Pseudopaline exporter CntI
BCPCFBLM_00151	CDS	1302	cntM	1.5.1.-		Pseudopaline synthase
BCPCFBLM_00152	CDS	792	cntL	2.5.1.-		L-histidine 2-aminobutanoyltransferase
BCPCFBLM_00153	CDS	2127	cntO_1			Metal-pseudopaline receptor CntO
BCPCFBLM_00154	CDS	1155				hypothetical protein
BCPCFBLM_00155	CDS	1911	speA	4.1.1.19		Biosynthetic arginine decarboxylase
BCPCFBLM_00156	CDS	372	yciH		COG0023	putative protein YciH
BCPCFBLM_00157	CDS	537	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
BCPCFBLM_00158	CDS	1071				hypothetical protein
BCPCFBLM_00159	CDS	132				hypothetical protein
BCPCFBLM_00160	CDS	1629	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
BCPCFBLM_00161	CDS	1974	ctpL			Methyl-accepting chemotaxis protein CtpL
BCPCFBLM_00162	CDS	1776	dsbD_1	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
BCPCFBLM_00163	CDS	444	aroQ1_1	4.2.1.10	COG0757	3-dehydroquinate dehydratase 1
BCPCFBLM_00164	CDS	471	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
BCPCFBLM_00165	CDS	1350	accC_1	6.3.4.14	COG0439	Biotin carboxylase
BCPCFBLM_00166	CDS	867				hypothetical protein
BCPCFBLM_00167	CDS	885	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
BCPCFBLM_00168	CDS	1278				hypothetical protein
BCPCFBLM_00169	CDS	999	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
BCPCFBLM_00170	CDS	324	fis			DNA-binding protein Fis
BCPCFBLM_00171	CDS	1608	purH		COG0138	Bifunctional purine biosynthesis protein PurH
BCPCFBLM_00172	CDS	1290	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
BCPCFBLM_00173	CDS	2829	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BCPCFBLM_00174	CDS	594				hypothetical protein
BCPCFBLM_00175	CDS	1266	amiC_1			Aliphatic amidase expression-regulating protein
BCPCFBLM_00176	CDS	1590				hypothetical protein
BCPCFBLM_00177	CDS	1080				hypothetical protein
BCPCFBLM_00178	CDS	858	cbiO	3.6.3.-	COG1122	Cobalt import ATP-binding protein CbiO
BCPCFBLM_00179	CDS	699	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
BCPCFBLM_00180	CDS	453				hypothetical protein
BCPCFBLM_00181	CDS	843	ureD			Urease accessory protein UreD
BCPCFBLM_00182	CDS	303	ureA	3.5.1.5		Urease subunit gamma
BCPCFBLM_00183	CDS	519	pitA_1	2.3.1.-	COG1247	L-methionine sulfoximine/L-methionine sulfone acetyltransferase
BCPCFBLM_00184	CDS	306	ureB	3.5.1.5		Urease subunit beta
BCPCFBLM_00185	CDS	1701	ureC	3.5.1.5		Urease subunit alpha
BCPCFBLM_00186	CDS	1368				hypothetical protein
BCPCFBLM_00187	CDS	267	ybiI_1		COG1734	putative protein YbiI
BCPCFBLM_00188	CDS	702				hypothetical protein
BCPCFBLM_00189	CDS	747				hypothetical protein
BCPCFBLM_00190	CDS	831		4.1.1.112	COG2513	Oxaloacetate decarboxylase
BCPCFBLM_00191	CDS	1266	dnaK_2		COG0443	Chaperone protein DnaK
BCPCFBLM_00192	CDS	417				hypothetical protein
BCPCFBLM_00193	CDS	540				hypothetical protein
BCPCFBLM_00194	CDS	345	osmE			Osmotically-inducible putative lipoprotein OsmE
BCPCFBLM_00195	CDS	408				hypothetical protein
BCPCFBLM_00196	CDS	813				hypothetical protein
BCPCFBLM_00197	CDS	2070				hypothetical protein
BCPCFBLM_00198	CDS	534				hypothetical protein
BCPCFBLM_00199	CDS	342				hypothetical protein
BCPCFBLM_00200	CDS	768	yedY1		COG2041	Putative protein-methionine-sulfoxide reductase subunit YedZ1
BCPCFBLM_00201	CDS	615	yedZ1		COG4117	Putative protein-methionine-sulfoxide reductase subunit YedZ1
BCPCFBLM_00202	CDS	624				hypothetical protein
BCPCFBLM_00203	CDS	690	czcR_1			Transcriptional activator protein CzcR
BCPCFBLM_00204	CDS	1392	czcS_1	2.7.13.3		Sensor protein CzcS
BCPCFBLM_00205	CDS	1317	ycaD_1			putative MFS-type transporter YcaD
BCPCFBLM_00206	CDS	1089	desA3	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
BCPCFBLM_00207	CDS	1101		1.-.-.-	COG1018	NADPH oxidoreductase
BCPCFBLM_00208	CDS	630	fabR_1		COG1309	HTH-type transcriptional repressor FabR
BCPCFBLM_00209	CDS	504	ureE			Urease accessory protein UreE
BCPCFBLM_00210	CDS	672	ureF		COG0830	Urease accessory protein UreF
BCPCFBLM_00211	CDS	615	ureG		COG0378	Urease accessory protein UreG
BCPCFBLM_00212	CDS	573				hypothetical protein
BCPCFBLM_00213	CDS	1023	fecR_1		COG3712	Protein FecR
BCPCFBLM_00214	CDS	537	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
BCPCFBLM_00215	CDS	2970	btuB_1			Vitamin B12 transporter BtuB
BCPCFBLM_00216	CDS	1254	nicP_1			Porin-like protein NicP
BCPCFBLM_00217	CDS	1470	pchA_1	1.2.1.96		4-hydroxybenzaldehyde dehydrogenase (NADP(+))
BCPCFBLM_00218	CDS	1341	genK		COG0477	Gentisate transporter
BCPCFBLM_00219	CDS	1587	mdlC	4.1.1.7		Benzoylformate decarboxylase
BCPCFBLM_00220	CDS	897	pcpR_1			PCP degradation transcriptional activation protein
BCPCFBLM_00221	CDS	1335	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
BCPCFBLM_00222	CDS	1056	tsaM1_1	1.14.14.-		Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1
BCPCFBLM_00223	CDS	954	pcpD_1	1.1.1.404	COG1018	Tetrachlorobenzoquinone reductase
BCPCFBLM_00224	CDS	714	gntR_1			putative D-xylose utilization operon transcriptional repressor
BCPCFBLM_00225	CDS	762	isfD	1.1.1.313	COG4221	Sulfoacetaldehyde reductase
BCPCFBLM_00226	CDS	933		1.5.1.49	COG2423	Delta(1)-pyrroline-2-carboxylate reductase
BCPCFBLM_00227	CDS	717	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
BCPCFBLM_00228	CDS	873	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
BCPCFBLM_00229	CDS	1278				hypothetical protein
BCPCFBLM_00230	CDS	915	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
BCPCFBLM_00231	CDS	1125	livJ		COG0683	Leu/Ile/Val-binding protein
BCPCFBLM_00232	CDS	939	gcvA_1			Glycine cleavage system transcriptional activator
BCPCFBLM_00233	CDS	1626				hypothetical protein
BCPCFBLM_00234	CDS	696				hypothetical protein
BCPCFBLM_00235	CDS	603	nadD_1	2.7.7.18		nicotinate-nucleotide adenylyltransferase
BCPCFBLM_00236	CDS	660	pncA	3.5.1.19	COG1335	Nicotinamidase/pyrazinamidase
BCPCFBLM_00237	CDS	1200	pncB2_1	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase 2
BCPCFBLM_00238	CDS	828	nadE_2	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
BCPCFBLM_00239	CDS	924		2.3.1.43		Phosphatidylcholine-sterol acyltransferase
BCPCFBLM_00240	CDS	447	azu		COG3241	Azurin
BCPCFBLM_00241	CDS	588		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
BCPCFBLM_00242	CDS	696	nlpD			Murein hydrolase activator NlpD
BCPCFBLM_00243	CDS	870	mscS_1		COG0668	Small-conductance mechanosensitive channel
BCPCFBLM_00244	CDS	936			COG1305	putative protein
BCPCFBLM_00245	CDS	2499			COG2307	putative protein
BCPCFBLM_00246	CDS	2244				hypothetical protein
BCPCFBLM_00247	CDS	1881				hypothetical protein
BCPCFBLM_00248	CDS	1215	bglA	3.2.1.21		Beta-glucosidase A
BCPCFBLM_00249	CDS	1092	alr	5.1.1.1	COG0787	Alanine racemase, biosynthetic
BCPCFBLM_00250	CDS	1395	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
BCPCFBLM_00251	CDS	447	rplI		COG0359	50S ribosomal protein L9
BCPCFBLM_00252	CDS	870				hypothetical protein
BCPCFBLM_00253	CDS	231	rpsR		COG0238	30S ribosomal protein S18
BCPCFBLM_00254	CDS	420	rpsF		COG0360	30S ribosomal protein S6
BCPCFBLM_00255	CDS	747	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
BCPCFBLM_00256	CDS	2718	rnr	3.1.13.1	COG0557	Ribonuclease R
BCPCFBLM_00257	tRNA	87				tRNA-Leu(cag)
BCPCFBLM_00258	CDS	1293	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
BCPCFBLM_00259	CDS	1185	hisZ		COG3705	ATP phosphoribosyltransferase regulatory subunit
BCPCFBLM_00260	CDS	234				hypothetical protein
BCPCFBLM_00261	CDS	870	hflC		COG0330	Modulator of FtsH protease HflC
BCPCFBLM_00262	CDS	1203	hflK		COG0330	Modulator of FtsH protease HflK
BCPCFBLM_00263	CDS	1260	hflX		COG2262	GTPase HflX
BCPCFBLM_00264	CDS	249	hfq		COG1923	RNA-binding protein Hfq
BCPCFBLM_00265	CDS	972	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
BCPCFBLM_00266	CDS	1902	mutL			DNA mismatch repair protein MutL
BCPCFBLM_00267	CDS	1428	amiC_2	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
BCPCFBLM_00268	CDS	468	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
BCPCFBLM_00269	CDS	1509	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
BCPCFBLM_00270	CDS	1086	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
BCPCFBLM_00271	CDS	543	orn	3.1.-.-	COG1949	Oligoribonuclease
BCPCFBLM_00272	CDS	1020	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
BCPCFBLM_00273	CDS	1029	motB		COG1360	Motility protein B
BCPCFBLM_00274	CDS	852	motA		COG1291	Motility protein A
BCPCFBLM_00275	CDS	1512				hypothetical protein
BCPCFBLM_00276	CDS	816	rhdA	2.8.1.1	COG2897	Thiosulfate sulfurtransferase
BCPCFBLM_00277	CDS	870	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
BCPCFBLM_00278	CDS	1824	fimW			Cyclic-di-GMP receptor FimW
BCPCFBLM_00279	CDS	2076				hypothetical protein
BCPCFBLM_00280	CDS	1215	serB2	3.1.3.3	COG0560	Phosphoserine phosphatase SerB2
BCPCFBLM_00281	CDS	1539				hypothetical protein
BCPCFBLM_00282	CDS	537	ybcI		COG1988	Inner membrane protein YbcI
BCPCFBLM_00283	CDS	711				hypothetical protein
BCPCFBLM_00284	CDS	2265	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
BCPCFBLM_00285	CDS	486				hypothetical protein
BCPCFBLM_00286	CDS	1014				hypothetical protein
BCPCFBLM_00287	CDS	1890	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
BCPCFBLM_00288	CDS	687				hypothetical protein
BCPCFBLM_00289	CDS	819	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
BCPCFBLM_00290	CDS	459				hypothetical protein
BCPCFBLM_00291	CDS	618	nudF	3.6.1.13		ADP-ribose pyrophosphatase
BCPCFBLM_00292	CDS	747				hypothetical protein
BCPCFBLM_00293	CDS	1884	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
BCPCFBLM_00294	CDS	1449	tolC_1		COG1538	Outer membrane protein TolC
BCPCFBLM_00295	CDS	705	azoR_1	1.7.1.17		FMN-dependent NADH-azoreductase
BCPCFBLM_00296	CDS	1182	aruH	2.6.1.84	COG0436	Arginine--pyruvate transaminase AruH
BCPCFBLM_00297	CDS	1611	aruI_1	4.1.1.75	COG0028	putative 2-ketoarginine decarboxylase AruI
BCPCFBLM_00298	CDS	2091	FCS1_1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
BCPCFBLM_00299	CDS	1161	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
BCPCFBLM_00300	CDS	792		4.2.1.150	COG1024	Crotonyl-CoA hydratase
BCPCFBLM_00301	CDS	1413	rocC		COG0833	Amino-acid permease RocC
BCPCFBLM_00302	CDS	2253	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
BCPCFBLM_00303	CDS	777				hypothetical protein
BCPCFBLM_00304	CDS	735	arcA_1		COG0745	Aerobic respiration control protein ArcA
BCPCFBLM_00305	CDS	648	betI_1			HTH-type transcriptional regulator BetI
BCPCFBLM_00306	CDS	1092				hypothetical protein
BCPCFBLM_00307	CDS	1947		1.16.1.-	COG0446	Metal reductase
BCPCFBLM_00308	CDS	600	puuR_1			HTH-type transcriptional regulator PuuR
BCPCFBLM_00309	CDS	1278	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
BCPCFBLM_00310	CDS	885	yhaJ_1			HTH-type transcriptional regulator YhaJ
BCPCFBLM_00311	CDS	333			COG2076	Multidrug transporter
BCPCFBLM_00312	CDS	1176		1.-.-.-	COG0578	putative FAD-dependent oxidoreductase
BCPCFBLM_00313	CDS	813				hypothetical protein
BCPCFBLM_00314	CDS	921				hypothetical protein
BCPCFBLM_00315	CDS	1209	bcd	1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
BCPCFBLM_00316	CDS	1284	acrC_1	1.3.1.95		Acryloyl-CoA reductase (NADH)
BCPCFBLM_00317	CDS	1425	hldE		COG2870	Bifunctional protein HldE
BCPCFBLM_00318	CDS	1812	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
BCPCFBLM_00319	CDS	651				hypothetical protein
BCPCFBLM_00320	CDS	1206				hypothetical protein
BCPCFBLM_00321	CDS	885				hypothetical protein
BCPCFBLM_00322	CDS	957				hypothetical protein
BCPCFBLM_00323	CDS	1419				hypothetical protein
BCPCFBLM_00324	CDS	897				hypothetical protein
BCPCFBLM_00325	CDS	1137	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
BCPCFBLM_00326	CDS	1758	tobZ	6.1.2.2		nebramycin 5' synthase
BCPCFBLM_00327	CDS	1479				hypothetical protein
BCPCFBLM_00328	CDS	759	inaA_1			Protein InaA
BCPCFBLM_00329	CDS	735				hypothetical protein
BCPCFBLM_00330	CDS	807	rfaP	2.7.1.-		Lipopolysaccharide core heptose(I) kinase RfaP
BCPCFBLM_00331	CDS	1122	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
BCPCFBLM_00332	CDS	1068	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
BCPCFBLM_00333	CDS	1038	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
BCPCFBLM_00334	CDS	924	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
BCPCFBLM_00335	CDS	2949	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
BCPCFBLM_00336	CDS	2649	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
BCPCFBLM_00337	CDS	1644	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
BCPCFBLM_00338	CDS	2700				hypothetical protein
